actor,nepo,n_films,won_national,won_filmfare
Aditi Govitrikar,False,3,False,False
Shagufta Ali,False,3,False,False
Meiyang Chang,False,3,False,False
Aamna Sharif,False,3,False,False
Rufy Khan,False,3,False,False
Vedika Pinto,False,3,False,False
Harsh Mayar,False,3,False,False
Rajesh Kumar,False,3,False,False
Rohit Saraf,False,3,False,False
Kaveri Jha,False,3,False,False
Patralekha,False,3,False,False
Kavi Shastri,False,3,False,False
Shalini Pandey,False,3,False,False
Sapna Pabbi,False,3,False,False
Pratima Kazmi,False,3,False,False
Elena Kazan,False,3,False,False
Zain Khan,False,3,False,False
Vinay Anand,False,3,False,False
Tara Alisha Berry,False,3,False,False
Pankaj Berry,False,3,False,False
Babil Khan,True,3,False,False
Aayush Sharma,False,3,False,False
Veena Malik,False,3,False,False
Utkarsh Sharma,False,3,False,False
Neena Kulkarni,False,3,False,False
Rinku Rajguru,False,3,False,False
Suhail Nayyar,False,3,False,False
Avneet Kaur,False,3,False,False
Bhagyashree,False,3,False,True
Prabhas,False,3,False,False
Shweta Menon,False,3,False,False
Alankrita Sahai,False,3,False,False
Tina Desai,False,3,False,False
Pooja Bhatt,True,3,False,False
Harshvardhan Kapoor,True,3,False,False
Saswata Chatterjee,False,3,False,False
Deepika Amin,False,3,False,False
Ashok Samarth,False,3,False,False
Shantanu Maheshwari,False,3,False,False
Athiya Shetty,True,3,False,False
Karanvir Bohra,False,3,False,False
Niharika Singh,False,3,False,False
Barkha Singh,False,3,False,False
Avtar Gill,False,3,False,False
Dev Anand,False,3,False,True
Barry John,False,3,False,False
Aasif Sheikh,False,3,False,False
Sidhant Gupta,False,3,False,False
Monica Dogra,False,3,False,False
Pranutan Bahl,False,3,False,True
Natasha Rastogi,False,3,False,False
Karanvir Sharma,False,3,False,False
Mohanlal,False,3,False,True
Apoorva Agnihotri,False,3,False,False
Vibha Chibber,False,3,False,False
Tota Roy Chowdhury,False,3,False,True
Prakash Jha,False,3,False,False
Yusuf Hussain,False,3,False,False
Mukul Dev,False,3,False,False
Shataf Figar,False,3,False,False
Gashmeer Mahajani,False,3,False,False
