year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2024,Sarfira,no,30.02,6.9,14100,4.149,1.492
2025,Jolly LLB 3,no,166.06,6.4,40907,4.612,2.223
2025,Sky Force,yes,168.88,6.8,13944,4.144,2.23
2014,Pizza,no,4.04,6.2,1620,3.21,0.702
2016,Laal Rang,no,2.26,7.8,5433,3.735,0.513
2018,Kaalakaandi,yes,10.0,6.3,3577,3.554,1.041
2021,Madam Chief Minister,no,0.05,4.9,1989,3.299,0.021
2024,Fighter,yes,344.46,6.1,54165,4.734,2.538
2002,Humraaz,yes,29.71,6.5,4240,3.627,1.487
2004,Hulchul,yes,33.09,7.1,10936,4.039,1.533
2006,36 China Town,yes,38.0,5.8,5889,3.77,1.591
2006,Aap Ki Khatir,yes,13.0,4.0,1103,3.043,1.146
2007,"Gandhi, My Father",yes,7.49,7.3,1888,3.276,0.929
2007,Naqaab,yes,21.2,5.5,1726,3.237,1.346
2008,Mere Baap Pehle Aap,yes,36.0,5.6,3178,3.502,1.568
2008,Race,yes,106.0,6.7,17270,4.237,2.029
2012,Gali Gali Chor Hai,yes,13.07,5.3,781,2.893,1.148
2016,Dishoom,yes,119.58,5.2,10068,4.003,2.081
2017,Ittefaq,yes,56.26,7.2,17141,4.234,1.758
2017,Mom,yes,175.7,7.2,13270,4.123,2.247
2019,Section 375,yes,12.35,8.1,21338,4.329,1.125
2020,Sab Kushal Mangal,yes,0.45,4.1,332,2.522,0.161
2025,Chhaava,yes,797.34,7.3,44329,4.647,2.902
2025,Dhurandhar,yes,1349.65,8.3,140800,5.149,3.131
2016,Freaky Ali,yes,21.32,5.0,3211,3.507,1.349
2024,Tipppsy,no,0.08,7.9,38,1.591,0.033
2023,Almost Pyaar with DJ Mohabbat,no,0.25,4.9,1178,3.072,0.097
2024,Srikanth,no,62.92,7.4,14634,4.165,1.806
2020,Jawaani Jaaneman,yes,44.77,6.5,8719,3.941,1.661
2000,Joru Ka Ghulam,yes,13.1,5.1,1455,3.163,1.149
2002,Aap Mujhe Achche Lagne Lage,yes,20.2,3.2,2990,3.476,1.326
2004,Aetbaar,no,8.0,4.7,1269,3.104,0.954
2013,Fukrey,no,53.0,6.9,14274,4.155,1.732
2014,Bobby Jasoos,no,20.38,5.5,2546,3.406,1.33
2015,Khamoshiyan,no,19.5,4.1,1655,3.219,1.312
2017,Fukrey Returns,no,112.3,6.5,6887,3.838,2.054
2018,Happy Phirr Bhag Jayegi,yes,28.06,4.6,1596,3.203,1.463
2019,Prassthanam,yes,5.9,5.8,1757,3.245,0.839
2010,Paathshaala,yes,17.0,5.1,2176,3.338,1.255
2007,Marigold,yes,2.29,4.9,2195,3.342,0.517
2013,Chashme Baddoor,no,50.0,5.4,5517,3.742,1.708
2014,Kill Dil,no,52.1,4.5,4731,3.675,1.725
2014,Total Siyapaa,no,13.1,5.0,3196,3.505,1.149
2014,2 States,yes,172.99,6.9,28447,4.454,2.241
2014,Highway,yes,47.7,7.6,32753,4.515,1.688
2014,Humpty Sharma Ki Dulhania,yes,119.58,6.0,15557,4.192,2.081
2015,Shaandaar,yes,75.7,3.7,6950,3.842,1.885
2016,Dear Zindagi,yes,138.91,7.4,47508,4.677,2.146
2016,Kapoor & Sons,yes,143.29,7.7,33873,4.53,2.159
2017,Badrinath Ki Dulhania,yes,200.45,6.1,14867,4.172,2.304
2019,Gully Boy,yes,238.16,7.9,47397,4.676,2.379
2024,Jigra,yes,55.05,6.0,25019,4.398,1.749
2006,Zinda,yes,17.6,4.8,3976,3.6,1.27
2004,Chand Bujh Gaya,yes,0.15,6.7,81,1.914,0.061
2023,Farrey,yes,2.25,6.2,7023,3.847,0.512
2023,Ajmer 92,no,1.0,8.0,1409,3.149,0.301
2011,Shor in the City,yes,4.39,7.2,4330,3.637,0.732
2002,Dil Hai Tumhaara,yes,18.03,5.7,2437,3.387,1.279
2002,Na Tum Jaano Na Hum,yes,19.29,4.9,3212,3.507,1.307
2005,Revati,no,0.15,5.2,44,1.653,0.061
2008,Ek Vivaah... Aisa Bhi,no,2.35,5.4,612,2.787,0.525
2011,Don 2,yes,202.81,7.1,62072,4.793,2.309
2008,Bhoothnath,no,70.0,6.5,13170,4.12,1.851
2003,Baghban,yes,43.11,7.4,18905,4.277,1.645
2010,Ek Second... Jo Zindagi Badal De?,no,0.44,3.1,59,1.778,0.158
2008,Thoda Pyaar Thoda Magic,yes,37.25,5.1,4743,3.676,1.583
2013,Race 2,yes,175.75,5.4,18503,4.267,2.247
2023,Gadar 2,yes,691.08,5.1,25503,4.407,2.84
2000,Kaho Naa... Pyaar Hai,yes,80.01,6.9,18644,4.271,1.909
2001,Gadar: Ek Prem Katha,yes,133.13,7.3,16716,4.223,2.128
2002,Yeh Hai Jalwa,yes,10.88,4.8,3139,3.497,1.075
